first_name,middle_name,last_name,dob,address1,address2,address3,postal_code,mailing_address,mailing_place,mailing_province,mailing_postal_code,is_absentee,is_special_ballot,record_locator
Abba,Able,Ark,1/1/01,3211 St Joseph Blvd,UNIT 100,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,fc47bd
Auraldine,Susanna,Kitz,1/1/01,3211 St Joseph Blvd,UNIT 103,"Ottawa, Ontario",K1C1T1,"103-3211 St Joseph Blvd, Ottawa ON  K1C 1T1",,Ontario,,1,,abc123
Teachar,Niazmeen,Agovski,1/1/01,3535 St Joseph Blvd,UNIT 69,"Ottawa, Ontario",K1C1T1,,,Ontario,,,1,afe969
Celi,Red,Rataich,1/1/01,3535 St Joseph Blvd,UNIT 97,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,96ee27
Harvil,Jennifer Mary,Chang Hong,1/1/01,3584 St Joseph Blvd,,"Ottawa, Ontario",,,,Ontario,,,,118686
Palki,Hyacinth,Salathiel,1/1/01,3535 St Joseph Blvd,UNIT 48,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,ce24db
Giovano,Swarajyanand,Dravucz,1/1/01,3217 St Joseph Blvd,,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,32b032
Karlean,Whinita,Pourjam,1/1/01,3535 St Joseph Blvd,UNIT 3,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,f6de1a
Shackeelya,Ouralia,Khorshidi,1/1/01,3535 St Joseph Blvd,UNIT 93,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,cec095
Safera,Dana Joey,Balakrishna Pillai,1/1/01,3535 St Joseph Blvd,UNIT 52,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,7cc461
Arazana,,El Zawawy,1/1/01,417 Lawler Cres,,"Ottawa, Ontario",K4A3X9,"417 Lawler Cres, Ottawa, ON  K4A 3X9",,Ontario,,1,,ce8510
Sylvetre,,Gonzalez,1/1/01,3535 St Joseph Blvd,UNIT 39,"Ottawa, Ontario",K1C1T1,"424 Lawler Cres, Ottawa ON  K4A 3Y3",,Ontario,,1,,920561
Soosainayagam,Murdoch,Balatico,1/1/01,3489 St Joseph Blvd,,"Ottawa, Ontario",K1C1T1,,,Ontario,,,,0d8880
Ruddyard,Vishnudevan,Kuqo,1/1/01,424 Lawler Cres,,"Ottawa, Ontario",K4A3Y3,"424 Lawler Cres, Ottawa ON  K4A 3Y3",,Ontario,,1,,52fe88
Chung,Kwan Giampitro,Maheryar,1/1/01,330 Centrum Blvd,UNIT 307,"Ottawa, Ontario",K1E3W2,"307-330 Centrum Blvd, Ottawa ON  K1E 3W2",,Ontario,,1,,901da7
